2BLIS,14,1920 x 1080,HD,Intel Core i3(Kaby Lake / 7. generace) ,4,LPDDR4,2.133,8,Windows 8.1,850,SSHD,NVIDIA GeForce GTX 1050,silver,34,349,281,0
5UEVK,15.6,1920 x 1080,Full HD,Intel Core i5(Kaby Lake / 7. generace),2,DDR3 SODIMM,1.666,64,UHD 4K0,1698,SSD,NVIDIA Quadro M1000M,black,41,371,385,3
8BLLB,15.6,1280 x 800,Full HD,Intel Core i7(Haswell / 4. generace),4,LPDDR4,1.666,32,Windows 8.1,1752,SSHD,AMD Radeon R7 M445,grey,17,393,215,1
A7FCH,13.3,2560 x 1440,WQHD,Intel Core i7(Crystal Well / 4. generace),4,DDR4 SODIMM,1.666,16,Linux,1713,HDD,NVIDIA GeForce GTX 960M,grey,24,414,255,2
EPM39,17.3,2560 x 1440,QHD +,Intel Core M7(Skylake / 6. generace),2,DDR3 SODIMM,1.666,12,Linux,1499,SSHD,NVIDIA GeForce GTX 1070,white,40,436,296,0
H7FF1,17.3,2560 x 1440,QHD +,Intel Core i7(Crystal Well / 4. generace),2,LPDDR4,1.666,12,Linux,37,SSHD,NVIDIA Quadro M1000M,red,47,257,189,3
K3M76,17.3,1366 x 768,WXGA,Intel Core i7(Broadwell / 5. generace),4,DDR4 SODIMM,2.400,8,UHD 4K0,1485,SSD,AMD Radeon R7 M445,white,14,279,230,5
OKFXY,17.3,1280 x 800,WXGA,Intel Core i7(Broadwell / 5. generace),2,LPDDR4,2.400,12,Windows 8.1,361,SSD,NVIDIA GeForce GTX 1070,red,30,300,270,2
R2N-Q,14,3840 x 2160,UHD 4K0,Intel Core i7(Broadwell / 5. generace),4,LPDDR4,2.133,32,UHD 4K0,57,HDD,NVIDIA Quadro M1000M,red,37,322,311,0
UYG0H,13.3,1920 x 1080,UHD 4K0,Intel Core i5(Skylake / 6. generace),2,DDR3 SODIMM,1.666,16,Windows 10,686,SSD,NVIDIA Quadro M1000M,silver,12,344,204,1
XFNRN,15.6,1280 x 800,Full HD,Intel Core M5(Skylake / 6. generace),4,DDR4 SODIMM,2.400,12,no OS,472,SSHD,NVIDIA GeForce GTX 960M,red,19,365,244,5
1YUHE,17.3,2560 x 1440,WQHD,Intel Core M5(Skylake / 6. generace),2,LPDDR4,2.133,8,no OS,1011,SSHD,NVIDIA GeForce GTX 1050,red,36,387,285,2
4TNU7,13.3,1920 x 1080,UHD 4K0,Intel Core i7(Crystal Well / 4. generace),2,LPDDR4,1.666,64,Windows 8.1,750,HDD,AMD Radeon R7 M445,black,43,409,389,4
7AULC,13.3,1280 x 800,HD,Intel Core M5(Skylake / 6. generace),2,DDR4 SODIMM,2.400,32,UHD 4K0,1992,SSHD,NVIDIA GeForce GTX 960M,red,50,431,218,1
-TOB4,17.3,1280 x 800,HD,Intel Core M3(Skylake / 6. generace),4,LPDDR4,2.400,12,Windows 8.1,18,SSD,NVIDIA GeForce 940MX,black,25,251,259,5
DOV2W,14,1920 x 1080,Full HD,Intel Core M3(Kaby Lake / 7. generace),2,DDR4 SODIMM,1.666,12,Windows 8.1,1660,SSHD,NVIDIA GeForce GTX 1050,black,33,273,300,0
G7OF1,14,3840 x 2160,Full HD,Intel Core M3(Skylake / 6. generace),4,DDR3 SODIMM,2.400,8,Windows 7,1446,HDD,NVIDIA GeForce GTX 1060,black,49,290,192,4
JOV6T,14,2560 x 1440,WQHD,Intel Core M3(Kaby Lake / 7. generace),2,DDR4 SODIMM,2.133,64,no OS,1985,SSHD,NVIDIA Quadro M1000M,white,15,312,233,5
MKOWK,14,2560 x 1440,QHD +,Intel Core M3(Kaby Lake / 7. generace),4,DDR3 SODIMM,2.133,32,Linux,1245,SSHD,NVIDIA GeForce GTX 1070,white,31,333,274,3
Q2VNQ,17.3,1366 x 768,HD,Intel Core i5(Skylake / 6. generace),2,LPDDR4,1.666,16,Windows 8.1,308,SSD,NVIDIA GeForce GTX 1050,white,38,355,377,0
TJP0I,15.6,2560 x 1440,WXGA,Intel Core i5(Broadwell / 5. generace),4,DDR4 SODIMM,2.400,12,UHD 4K0,100,SSHD,NVIDIA GeForce GTX 1060,white,14,377,207,2
WFWQ-,13.3,3200 x 1800,WXGA,Intel Core i3(Skylake / 6. generace),2,DDR3 SODIMM,2.133,32,Windows 7,633,HDD,AMD Radeon R7 M445,white,21,398,248,5
0X3HF,13.3,3840 x 2160,UHD 4K0,Intel Core M3(Kaby Lake / 7. generace),4,DDR4 SODIMM,2.400,12,no OS,157,SSD,NVIDIA GeForce GTX 960M,silver,28,420,288,3
3FWU7,17.3,2560 x 1440,WQHD,Intel Core i3(Skylake / 6. generace),4,DDR3 SODIMM,2.400,8,Windows 7,958,HDD,NVIDIA GeForce GTX 1070,white,44,442,181,4
6A3KZ,17.3,3200 x 1800,QHD +,Intel Core i3(Skylake / 6. generace),2,LPDDR4,1.666,16,Windows 8.1,744,HDD,NVIDIA Quadro M1000M,silver,11,263,222,2
9SWAQ,14,1366 x 768,HD,Intel Core i3(Kaby Lake / 7. generace) ,4,DDR4 SODIMM,2.133,12,Linux,1322,SSD,NVIDIA GeForce GTX 1060,silver,27,284,262,5
CA42W,14,3840 x 2160,WXGA,Intel Core i5(Broadwell / 5. generace),2,DDR3 SODIMM,2.400,8,Windows 10,496,HDD,NVIDIA GeForce GTX 960M,black,34,306,366,1
F6XEO,14,1280 x 800,Full HD,Intel Core i7(Haswell / 4. generace),4,LPDDR4,2.400,8,no OS,202,SSHD,NVIDIA GeForce GTX 1060,silver,50,328,196,4
IO45F,13.3,3840 x 2160,Full HD,Intel Core i7(Haswell / 4. generace),4,LPDDR4,2.133,64,Windows 7,1393,SSHD,NVIDIA GeForce GTX 960M,grey,16,349,236,2
L6XWL,15.6,1280 x 800,Full HD,Intel Core i7(Crystal Well / 4. generace),4,DDR4 SODIMM,1.666,32,no OS,1932,SSHD,AMD Radeon R7 M445,grey,24,371,277,3
P14MC,17.3,2560 x 1440,WQHD,Intel Core M3(Skylake / 6. generace),2,DDR3 SODIMM,2.400,16,UHD 4K0,1718,SSD,NVIDIA GeForce GTX 960M,grey,40,393,381,1
SJXZ5,13.3,2560 x 1440,WQHD,Intel Core i3(Kaby Lake / 7. generace) ,4,LPDDR4,2.133,32,Windows 10,255,SSHD,NVIDIA GeForce GTX 1070,grey,47,415,210,4
V15Q-,15.6,1920 x 1080,WQHD,Intel Core i7(Broadwell / 5. generace),2,LPDDR4,1.666,8,Linux,42,SSD,AMD Radeon R5 M430,grey,22,436,251,0
YJBG2,17.3,1366 x 768,HD,Intel Core M3(Skylake / 6. generace),2,LPDDR4,2.400,16,UHD 4K0,1793,SSHD,NVIDIA GeForce 940MX,grey,30,257,355,3
2E57U,14,1366 x 768,HD,Intel Core i7(Broadwell / 5. generace),2,DDR3 SODIMM,2.133,16,Windows 8.1,366,HDD,NVIDIA GeForce 940MX,white,46,274,184,1
5WBKZ,14,1920 x 1080,Full HD,Intel Core M7(Skylake / 6. generace),2,DDR3 SODIMM,1.666,16,Windows 7,905,SSHD,NVIDIA GeForce GTX 1060,silver,12,295,225,2
8E5AR,15.6,2560 x 1440,WQHD,Intel Core i7(Skylake / 6. generace),4,LPDDR4,2.400,12,Linux,657,SSHD,AMD Radeon R5 M430,silver,28,317,266,0
A-B1I,14,3200 x 1800,QHD +,Intel Core i7(Kaby Lake / 7. generace),2,DDR4 SODIMM,2.133,8,Linux,1229,HDD,NVIDIA GeForce 940MX,red,36,339,369,4
ES6EO,15.6,3200 x 1800,QHD +,Intel Core M5(Skylake / 6. generace),2,DDR3 SODIMM,2.133,64,Windows 7,830,HDD,NVIDIA GeForce GTX 1050,silver,43,361,199,5
H-C5F,13.3,3840 x 2160,HD,Intel Core M5(Skylake / 6. generace),2,DDR4 SODIMM,1.666,64,Linux,1554,HDD,NVIDIA GeForce GTX 1060,white,18,382,240,3
K56V8,13.3,1280 x 800,WXGA,Intel Core M3(Skylake / 6. generace),2,DDR4 SODIMM,1.666,16,Windows 8.1,1340,SSD,AMD Radeon R5 M430,black,25,404,343,4
ONCMD,17.3,3840 x 2160,QHD +,Intel Core i3(Haswell / 4. generace),2,LPDDR4,2.400,12,Windows 8.1,429,SSHD,NVIDIA GeForce 940MX,white,41,426,384,2
R56Z5,17.3,3840 x 2160,UHD 4K0,Intel Core i7(Haswell / 4. generace),2,DDR4 SODIMM,1.666,8,Windows 8.1,1645,HDD,NVIDIA GeForce GTX 1050,black,49,447,214,5
U1DPX,14,3200 x 1800,Full HD,Intel Core M3(Kaby Lake / 7. generace),2,DDR3 SODIMM,2.400,32,Windows 10,971,SSHD,NVIDIA GeForce GTX 1050,silver,24,268,254,1
XIKFO,14,1920 x 1080,WQHD,Intel Core i5(Skylake / 6. generace),4,DDR3 SODIMM,2.133,32,Linux,1989,SSHD,AMD Radeon R5 M430,black,31,290,358,4
10D7U,15.6,3200 x 1800,UHD 4K0,Intel Core i5(Broadwell / 5. generace),2,LPDDR4,2.400,16,Windows 8.1,1218,SSHD,NVIDIA GeForce GTX 960M,white,38,312,188,2
4WKJL,15.6,1280 x 800,HD,Intel Core i5(Skylake / 6. generace),2,LPDDR4,2.400,12,Linux,313,HDD,NVIDIA GeForce GTX 1070,grey,14,333,228,3
