RX7--,13.3,3840 x 2160,WXGA,Intel Core i5(Skylake / 6. generace),2,LPDDR4,2.400,12,UHD 4K0,1868,SSD,NVIDIA Quadro M1000M,silver,23,272,357,0
UE0M1,13.3,3840 x 2160,Full HD,Intel Core i3(Skylake / 6. generace),2,DDR4 SODIMM,1.666,8,Windows 7,1654,HDD,NVIDIA GeForce GTX 1060,silver,30,294,250,3
XA7CT,13.3,3840 x 2160,UHD 4K0,Intel Core M3(Kaby Lake / 7. generace),2,DDR4 SODIMM,2.133,12,no OS,191,SSHD,NVIDIA GeForce 940MX,silver,37,316,291,1
1SD4Y,17.3,3840 x 2160,UHD 4K0,Intel Core i3(Haswell / 4. generace),2,DDR4 SODIMM,1.666,32,Windows 7,758,HDD,NVIDIA GeForce GTX 1070,red,12,337,331,2
4-8GQ,14,1366 x 768,Full HD,Intel Core i3(Skylake / 6. generace),2,DDR4 SODIMM,2.400,16,Windows 10,1161,HDD,NVIDIA GeForce GTX 1050,silver,20,354,372,0
76E7H,17.3,1280 x 800,QHD +,Intel Core i3(Skylake / 6. generace),2,LPDDR4,2.133,12,Linux,1505,SSD,NVIDIA GeForce GTX 1070,red,36,376,265,3
-N8YN,14,3200 x 1800,WXGA,Intel Core i3(Skylake / 6. generace),2,DDR4 SODIMM,1.666,8,Windows 8.1,876,SSHD,NVIDIA GeForce GTX 1050,black,43,397,305,5
D6EOF,17.3,1280 x 800,WQHD,Intel Core i3(Kaby Lake / 7. generace) ,4,DDR3 SODIMM,2.400,8,no OS,627,HDD,NVIDIA GeForce GTX 1060,grey,18,419,346,2
G1817,15.6,1366 x 768,UHD 4K0,Intel Core i3(Kaby Lake / 7. generace) ,2,DDR4 SODIMM,2.400,32,Windows 7,123,SSHD,NVIDIA GeForce GTX 1060,silver,26,441,239,0
JIESC,15.6,1920 x 1080,HD,Intel Core i3(Kaby Lake / 7. generace) ,4,DDR3 SODIMM,2.133,16,no OS,952,SSD,NVIDIA GeForce 940MX,grey,33,262,279,1
M19I4,14,2560 x 1440,WQHD,Intel Core i3(Kaby Lake / 7. generace) ,2,DDR3 SODIMM,2.400,12,no OS,1490,SSD,NVIDIA GeForce GTX 960M,grey,49,283,320,5
QWF9W,15.6,2560 x 1440,WQHD,Intel Core i5(Broadwell / 5. generace),4,DDR3 SODIMM,2.133,8,Windows 10,1276,SSHD,NVIDIA GeForce GTX 1060,red,15,305,361,0
TE9M1,17.3,3200 x 1800,QHD +,Intel Core i7(Crystal Well / 4. generace),4,DDR3 SODIMM,1.666,64,Linux,764,SSHD,AMD Radeon R5 M430,grey,31,327,253,4
